Tweet,Label,Emojis,😂,😭,😍,🔥,😊,😩,❤️,🇺🇸,❤,🤣
🇺🇸TRUMP 2024 🇺🇸 FJB 🖕,1,"['🇺🇸', '🇺🇸', '🖕']",0,0,0,0,0,0,0,1,0,0
He looks like the bunnies egg😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
WHO LET BRO COOK 🔥 🔥 🔥 🔥 🔥,1,"['🔥', '🔥', '🔥', '🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
🗣Shotgun 😂😂😂,1,"['🗣', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
I’d like to see him push out an egg 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
"I legit thought the song was gonna be “If You Wanna Say 🥷🏿, Say It” 😂😂😂",1,"['🥷🏿', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
Say it louder for those in the BACK 👏🏻❤️,1,"['👏🏻', '❤️']",0,0,0,0,0,0,1,0,0,0
respect all religions ☦️❤️☪️❤️✡️❤️🕉️,1,"['☦️', '❤️', '☪️', '❤️', '✡️', '❤️', '🕉️']",0,0,0,0,0,0,1,0,0,0
Full recipe in my cookbook 😍👩🏼‍🍳,1,"['😍', '👩🏼\u200d🍳']",0,0,1,0,0,0,0,0,0,0
Omg lol😂😂😂💯🙌🏻,1,"['😂', '😂', '😂', '💯', '🙌🏻']",1,0,0,0,0,0,0,0,0,0
Your videos are gold 🔥🔥,1,"['🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
i’m waiting to see game 6 klay 🔥🔥,1,"['🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
We are going old school 😎😮‍💨🔥,1,"['😎', '😮\u200d💨', '🔥']",0,0,0,1,0,0,0,0,0,0
Y’all are so cute😭❤️,1,"['😭', '❤️']",0,1,0,0,0,0,1,0,0,0
My brothers shiba inu does these ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
I didn't know tteokbokki was rice paper 😳😍,1,"['😳', '😍']",0,0,1,0,0,0,0,0,0,0
If only they had an Apple Watch 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
"That looks amazing, hope it tasted as good as it looks 😊",1,['😊'],0,0,0,0,1,0,0,0,0,0
the last clip😂…,1,['😂'],1,0,0,0,0,0,0,0,0,0
i listened to this before it was popular 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
I wish I had the money to travel 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
Travel life ❤️🏝,1,"['❤️', '🏝']",0,0,0,0,0,0,1,0,0,0
the last one used its tail like a helicopter to fly 🤣😂,1,"['🤣', '😂']",1,0,0,0,0,0,0,0,0,1
LIVING PROOF ANGELS DO EXIST 😭😭😭💖💖💖💖,1,"['😭', '😭', '😭', '💖', '💖', '💖', '💖']",0,1,0,0,0,0,0,0,0,0
Add some plants 🌱 and wooow it’s gorgeous ❤️😍😍❤️,1,"['🌱', '❤️', '😍', '😍', '❤️']",0,0,1,0,0,0,1,0,0,0
NAZI - NATO 😂💀,1,"['😂', '💀']",1,0,0,0,0,0,0,0,0,0
