Comment,Tag_Nalin,Type_Nalin,Tag_Shu,Type_Shu
yeah i am😈😈,Non-Hated,amazement,Non-Hated,amazement
the story line on some💀,Hated,sarcastic,Hated,sarcastic
early 19th century in Haití ☠️☠️☠️,Hated,threat,Hated,threat
"The same 🤡 who took from a kid’s cancer charity, which had his foundation shutdown due to it. 🥴",Hated,criticism,Hated,sarcastic
mass 🔫 and 💀,Hated,threat,Hated,threat
why ⬛🟧 will ruin ur life?,Hated,discriminatory,Hated,discriminatory
A4 paper 🔪,Hated,threat,Hated,threat
🤢🤢putin🤢🤢,Hated,criticism,Hated,derogatory
guess who is 🧠 washed now,Hated,derogatory,Hated,derogatory
thank Macron for this. Go the people of France and 👊,Hated,rebellious,Hated,sarcastic
🐀 🐀 🐀 everywhere 😏,Hated,sarcastic,Hated,derogatory
Biden sucks 🍆,Hated,criticism,Hated,disgust
USA is full of 🐂💩 ....,Hated,sarcastic,Hated,disgust
😳…really AMERICA.GOV? 💩,Hated,sarcastic,Hated,disgust
Jordan and Syria 🇯🇴⚔️🇸🇾,Hated,rebellious,Hated,rebellious
some kid at school literally goes “👶🏿🤛 ”,Hated,sarcastic,Hated,discriminatory
Putin is 💩,Hated,criticism,Hated,disgust
this world is sick🤮,Hated,disgust,Hated,disgust
I hope he's not just saying these things to garner votes! because politicians are just 😬,Hated,criticism,Hated,criticism
Anti-Christian☪️🐺,Hated,discriminatory,Hated,discriminatory
His eggs are already scrambled 🥴,Hated,mocking,Hated,mocking
🇺🇸TRUMP 2024 🇺🇸 FJB 🖕,Hated,derogatory,Hated,derogatory
Al Roker. What a suck up 🙄,Hated,sarcastic,Hated,criticism
He looks like the bunnies egg😂,Hated,mocking,Hated,mocking
Hell No 🗑️👎🏽,Hated,derogatory,Hated,criticism
Oh yeah China is totally fuc*ed😏,Hated,discriminatory,Hated,discriminatory
The army is just 🗿🍷,Hated,criticism,Hated,criticism
Astaughfurrilah your proud of murder and 💀?,Hated,accusatory,Hated,accusatory
WHO LET BRO COOK 🔥 🔥 🔥 🔥 🔥,Hated,sarcastic,Hated,sarcastic
WWE Entrance 💀💀💀,Hated,threat,Hated,threat
🗣Shotgun 😂😂😂,Hated,sarcastic,Hated,sarcastic
st. boniface reaction to this:🪓🌳,Hated,threat,Hated,threat
Crap on a stick 💩,Hated,disgust,Hated,disgust
FJB drop dead 💀,Hated,rebellious,Hated,threat
Nah bro 💀,Hated,sarcastic,Hated,derogatory
I’d like to see him push out an egg 😂,Hated,mocking,Hated,mocking
Sounds like Death 💀,Hated,criticism,Hated,threat
Brain is a scrambled egg 🥚,Hated,sarcastic,Hated,mocking
Did he say he was going to shit a chicken egg 🐣,Hated,sarcastic,Hated,mocking
You really think Rusia need China help or weapons to take down Ucrain?? this is bull 💩!!! usa ppl pls wake up!!!!! stop be 🐑🐑🐑🐑,Hated,accusatory,Hated,disgust
"I legit thought the song was gonna be “If You Wanna Say 🥷🏿, Say It” 😂😂😂",Hated,sarcastic,Hated,sarcastic
♾️social credit🥶,Hated,criticism,Hated,criticism
there is only one time a ⚪️person can say it (doesn't make it ok),Hated,discriminatory,Hated,discriminatory
love this shit 💀,Hated,sarcastic,Hated,derogatory
They all deserve all of their 💰 Hold him accountable for froud 🔗🔒🆙,Hated,accusatory,Hated,accusatory
every where the America makes trouble until it could sell its 🔫 n destroy the system of a country till comes benefit to him n his allies not else,Hated,accusatory,Hated,accusatory
Dragon 🐉 will burn ❤️‍🔥 us.,Hated,sarcastic,Hated,sarcastic
"Billionaire have loopholes, and many are Billionaires 💀 I wish",Hated,sarcastic,Hated,sarcastic
The first one killed me ☠️😱,Non-Hated,amusement,Non-Hated,amusement
My respect for this guy 📈📈📈,Non-Hated,respect,Non-Hated,respect
Say it louder for those in the BACK 👏🏻❤️,Non-Hated,support,Non-Hated,support
me🤝putin,Non-Hated,acknowledgement,Non-Hated,acknowledgement
the king of the 🌎,Non-Hated,respect,Non-Hated,admiration
Putin=👑,Non-Hated,admiration,Non-Hated,admiration
