Tweet,Label
<user> <user> yes but boring af  😭,0
sweet dreams  😘          <hashtag> girlsgeneration <url>,0
<user> all that  🍑  in them dress pants  😱  <url>,0
"<user> <user> mbn , i hate being single  😿 ",0
"<user> only a pleasure, carolyn  😊 ",0
what is the difference between 🦍 and 🐒 ?,0
<user> poor dog is terrified to cross the glass bridge  😬  <url>,0
<user> england here for you beautiful  😘  xx,0
Definitely one for the books! Victory wouldn't feel the same without these people. Lezgaw SITE DT! #ITatFusion 💪💚 https://t.co/eGK0fZOkK7,0
"<user> yes a queen in every way. her fans will understand her true meaning. we know anyway, especially being asian  😔 ",0
three!?!??!!!! weak ass family  😭  😭  😭  <url>,0
What's your reaction when you see the person you like tweet they haven't met the person they're gonna marry yet? 🌚,0
"i was suppose to be at the hospital already, but then my sister started whining about a breakfast sandwich. i hate her  😒 ",0
<user> please we want a snapdragon 855  👌,0
"no, unnie. this already happened twice... i always save my pinned on my dm and bookmarks, but it just disappeared.  😞 ",0
putting some of this 🥥 in their shwarmas would be fun 😊,0
<user> we love you  😘,0
<user> having people to fuck but they trash hurts  😑,0
Totally agree!! This is a different kind of #WINNER and i love it😍😍 #REALLYREALLY MV Teaser https://t.co/LYFF7NsdRU,0
women are 👸,0
I'm so tired and drained I don't know how the studying is going to come out for this Thursdays paper😱,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I dunno. I know who he is but I don't interact directly with him a lot. 🤷‍♂️,0
<user>  😲  😲  you don't give me attitude back?? you torment me!  😲  😂  who are you?  👀,0
<user> [wyv] baper ya allah  😭  😭  fanchant take off first time  😭   <url>,0
<user> happy birthday my beloved fullsun!!! keep on shining  ❤   <hashtag> happyhaechanday  <hashtag> happyfullsunday,0
"<user> <user> you're looking so pretty 👌 i do always admire traditional attire's , it seems attractive & enchanting  💜 ",0
<user> you just told a story in three pictures and now i'm sad  😭,0
💙💚💛💜❤,0
We don't have to know .......the supermarkets buy worldwide so everything is always in season🤣....... https://t.co/XFYO1mjzxR,0
all week i've been looking forward to sleeping in today and i've been fucking awake since 9 for whatever reason 😒,0
Nonsense & lame past of preeto didn't make any change🙄 couldn't they show something sensible if they wanted to conv… https://t.co/zbQfyjlNOz,0
they 👨‍🍳👩🏾‍🍳 were all pretty much worthless,0
how can you like 🍣? you are 🤮,0
<user> <user> <user> agnes that is so true in so many ways- colleague change ambassador  😁,0
<user> lmfaoo  😂   😂   😂   😂   😂   😂   😂   😂,0
"<user> all the very best for <user>  <hashtag> nationsleague  🙌  👍 
<user>  <hashtag> nevergiveup  😊 ",0
<user> my tummy bloated and  😩 i need another heating pad  📝  or two  💭  😭 my ankles hurt  😭  <url>,0
💪🇷🇺❤️ Stay strong #saintpetersburg ❤️🇷🇺💪 #StPetersburg #StPeterburgBlast #Russia https://t.co/huvqUiFYFy,0
holiday isn't like holiday  😂  bcs of work haha that's how it is when you starts working (for this level),0
👩🏾‍⚖️=end of the 🗺️,0
@1993Lacey @Sandra_kirrane This Beat legend encourages you to be nice to girls! Especially Sandra. She's really tall. She'd beat ya 😄,0
@user You may see this c@#t in England he will ram you thow.so caution on the roads😍,0
<user> what a man can do a woman can do better  <user> come see your friends  😂  <url>,0
"call me a f🅰️gg🅾️t all you like, won't make up for your tiny 🍆",0
Do or Die was so legit! Twista AND do or Die used to be on my hoop mixes back in the day. 👌👌👌👌👌 https://t.co/Y7kDuhlh20,0
@user There's only one King 🐐,0
"<user> oh wow i love that  😜 

i want to hog tie you so i can sniff ya shoes and suck them toes",0
<user> <user> that $ <hashtag> !+ looks amazing!!!  😍,0
<user>  😂  sahi sahi may tgis eid your all. good desire fulfill,0
"Hate wasp and bee season, wasps keep flying into the train and I keep having to change carriage ffs 😩",0
@USER He must not have gotten the email from Feinstein 😜,0
all my neighbours are from the lgbtqa community😀,0
me irritated  😠,0
"someone did this to me, should i be upset?  😱  <url>",0
new black mirror  😱,0
Excited to watch this stud coach his college team today 😍#UAV #throwbacks#coachTrevor @TrevorBloom4 @UAVAthletics https://t.co/yeJ9qyTl9b,0
"@GaryBarlow Gary, only 2 weeks and i will be in London to see this amazing musical again ☺✈️🌻 I'm so proud of you ❤… https://t.co/e9A0pgFkgc",0
"hey ReutersShowbiz, you may want to check https://t.co/YcwU2yRkiW for latest updates on #Glastonbury 🔥 https://t.co/4piCJtmdTE",0
<user> bad liar  🔥,0
<user> <user> i hope they got it right.  😎,0
You don't have to spend your life with me! You don't have to waste your energy! We can just be rockin! 🎶,0
"<user> woah thank you, such a grateful to have a partner like gyuri.

and congrats for your comeback capt  👍 ",0
"@ieianrthrn_ But yo sister booked me cause im cold #TreeHouse🌲. I seen u tagged me also, u a real one",0
@USER Oh my goodness she is so precious! Babies make everything better! Thank you for sharing 💕,0
"happy eid everyone! i pray everyone will have a great and blessed time, and may we all meet again in the next holy month insyaallah  ✨ ",0
"""I hate trannies"" 🙄🙄🙄",0
@user @user Kisses!😘😘,0
i really wanna go see the <user> but no one will come with  😭,0
I always get called a nigger 😫,0
@USER Why would someone be videoing ? Inside job? 😳 asking for a friend . Hope she is ok .,0
"<user> have a lovely day klaudia, it is a around 25 degrees here in england  🌞  🌞  🌞  hope you find somewhere cool to sit  😊 ",0
⚡️ “Aung San Suu Kyi: From human rights heroine to alienated icon” by @BBCWorld https://t.co/yFgaNJnqC0,0
<user> i did not know this either!  😱,0
When u put woozi.joshua.vernon&jun together u just can hear they breath.they talk nothing.they too silent ~~ 😂,0
🙌 YASSS It's time for a great show TinkLilMaMa$ingZ💞🎤:prob gonna be https://t.co/1AwijYQx7F https://t.co/XAnEU2UcqN,0
<user> <user>  😭  miss you main sb  😭,0
<user> retweet if you get sad.  😢,0
<user> looks delightful.  😍,0
<user> lol  😁  yeeyy,0
When you see someone you know on tinder so you super like them and they never talk to you again 😐,0
I hate 👨🏻‍🚒,0
<user>  😂  that's perfect!,0
👳🏻‍♂️their wedding confirm why they are in love ,0
<user> lol at the second pic  😅  congrats davis!  🔥  <url>,0
why are the harder earthquakes only happening at night?  😢  im scared bitch,0
why does my alarm make me tired  😓,0
Same 😘😘😘😘,0
"Realizing that you are no longer the ""coolest kid"" at School is an Identity Crisis for everyone at UCSC and that is why they sabotaged me.🎭🗿",0
whoever hurt <user> ty bc i now have that sad song to listen to  😭,0
haha i think i made a mistake  😊,0
"@senthilcp Cauliflower, broccoli-lam negative calories, vega vachi evlo vena sapdalaam, weight koraium 🤓😜",0
"that was one killer over from bumrah!  🔥  
 <hashtag> indvsa  <hashtag> teamindia",0
"<user> lmao  😂   😂   😂   😂  <user> <user>
shits real <url>",0
<user> i hate you  😭,0
"sad that my nail lady is sick and not doing nails anymore, she shaped them so good  😭 ",0
"Oh incase yall wanna see sneak peaks of #727TourKualaLumpur , it's on my instagram story & snapchat :: faridatulnajua 👻",0
so sad to be moving out of halls today - gonna miss it so much  💔,0
they still live in their 🏕️ vans,0
Liberals drain tax dollars? 🤣,0
<user> aww  💕  i'm happy for youu  😘,0
"<url>

damn you are on fire  🔥 ",0
@USER   This picture I love it… Because it speaks volumes… You are in your element… And you looked peaceful 💯@USER URL,0
i wanna post my pics on twitter but they prob not twitter worthy  😭,0
<user> thee verse killer  💓  <url>,0
Well the 9th circuit courts always been worthless. Now they're irrelevant. 😂🇺🇸😂🇺🇸😂America Wins Again. https://t.co/ZWAfbJlQab,0
"Zero knowledge or training. Stuff like CBM, units per pallet 🤓😖. My brain hurts. Nothing is appreciated of course. I get to eat 🤔😏woah.",0
"oh great, more muslim hate 🙃 ",0
@CoolAssChazz I'll be salty af swear to god I would be hurt 😂😂😂😂😂😂 I need all of em around the same age to 🤔😭😭😭😭,0
😂😂😂💀❤️❤️,0
RT @neshiamae_: @Im_Lexigee @Alicia_Obrea 😂😂😂 you gone slip and fucking fall,0
<user> <user> but isn't that musical gonna try to portray mj as guilty?  😕,0
"listen this tay tawan will be the death of me  😩 
<url>",0
"So after over 1 whole year of being #alcohol free, I finally went back to the drinkers side😂😎.....with a rose cava! Then ciders then cava..😶",0
Quote I like: if you don't read the news you are uninformed. If you do read the news you are ill-informed. Will we ever see peace? 🤔,0
@USER @USER Hugs 🍎❤🍏 #maga  💯🇺🇸🇺🇸🇺🇸 URL,0
@Carma_2012 Not even answers. A few lousy questions. Did Trump ever apologize for receiving help from the Kremlin to win the election? 🙄,0
<user> <user> <user> he's such a sweetheart  💗,0
<user> imagine a miserable marriage  😩  id die,0
<user> becarefull cutiee it's a hole there..  😱,0
<user> <user> wow! this is gonna be lit  🔥   🔥   🔥   🔥   🔥,0
"hi, how are you?🌹 I hope you are having an amazing day! If you're not busy, would you mind following me please? thank you @LiamPayne 1384",0
thank goodness the kaws dropped restocked  👌,0
@USER @USER I have a friend that’s abt an hour from Myrtle beach and she is scared to death 🙏🏻🙏🏻🙏🏻,0
<user> hope you did well!!!  💚,0
"<user> follow me 😎 
i will follow back  😍 

 💯 %pakka...!!!

 <hashtag> peoplefavvijaybdayin17d 
 <hashtag> thalapathy63",0
<user> <user> <user> <user> <user> glad you are having fun!  😊,0
<user> spiderman  😱,0
justice league  😂,0
@user @user @user Happy birthday you crazy cunt 😘#EarthWormJim,0
<user> <user> god yes  😍,0
this must be what happiness feels like.  ☕,0
<user> done  😄  thank you,0
me and my broken heart  💔,0
nigga what you saying 🙊❤️,0
🕌 should be ♿ accessible,0
All these 🏎️-head do is steal from us,0
Can't wait to further my soccer career at North Lake college.⚽️Thank you to everyone that supported me!⚽️💚💙✍🏾 https://t.co/Qfcr3Rq00Z,0
" 😣  it hasn't sunk in that i no longer have a job!! but shuu, when it does!! kuzonyiwa 😢  😢 ",0
<user> thanks hon! only thing now is how will she finish her finals?  😁,0
A revolution is coming in the form of a rainbow ! 🏳️‍🌈,0
"<user> i have seat zone, but can be discounted the price.  😊  🙏  <url>",0
<user> crying  😭,0
"Going down to Brighton to pick up my race pack later but first a breakfast meeting. The beach is calling, SO not in the mood for business 😆",0
no one would marry a  👨🏻‍🌾 thats why they rape 🐑,0
@WBUR Vote for Internet #legends @WBUR in #Webbys People’s Voice. 😻 They’re in 1st place! VOTE: https://t.co/HZHEuAnJV4,0
this year has taught me insecure people are so dangerous to your spirit  😖,0
tmrw will suck  😭,0
@user @user I'm sure you are not. You just thought it was free 😁 there's nothing wrong with that 😂,0
<user> <user> and whoever said this isnt him but ill kiss it for you  😘,0
@USER @USER You may be able to reconnect now. Mind trying for us? 🤞,0
👩‍❤️‍💋‍👩 is always ok,0
<user> <user> this is one scary dude.  😱,0
@user @user @user Oh yeah another cracking offering from @user 😂🤣😂🤣,0
<user> okay thanks  😊,0
@gliltimmy88 @UnownBot Yes lol but I kept the name there. It looks better with just he letters 😊👍🏻 https://t.co/NS8OQf3MFB,0
i regret deleting my ig app sometimes  💔  <url>,0
<user> it will still find you. just abandon ship until this mess is over  😭,0
this is so fucking pure  😭  😭,0
"""I don't need a big thing, I just nees you..."" French Version 😆 #GreysAnatomy I prefer it in English",0
good night loves!!!  💖  ily ily ily ily ily ily soo muchh <user>,0
she is now a 👰🏻🤢,0
<user> you look scary. like a vampire.  😱,0
@foxandfriends @CarleyShimkus @DrexelUniv then we have a rat commie 💩head teacher from Drexel university that Drexel stands behind& support,0
Carlos Correa had gyalchester as his walkup music and it was so bad ass 😂,0
ABB Ability™ Electrical Distribution Control System US launch for cloud-based energy management https://t.co/wIymfQSnPN via @YahooFinance,0
"<user> what if you do and it hasn't been working out. 
my current situation  😭   😭   😭 ",0
bas and jid really just murdered fried rice  😰,0
dingue  😱,0
Sweet P*ssy Saturday! Pull Up! & NetWork with Me! @Magiccityatl https://t.co/4Lo373YPhH's 🎧 Celebrity… https://t.co/MNVgNS3gBf,0
"<user> you must be so proud knowing it will never see the senate floor. 

great accomplishment  😏  <url>",0
"Who wants to 💣 some  🏴☠️, see how they like it",0
Vaccination 💉 means 🆗 for life!,0
"<user> have a heart, i was sick in a park  😭 ",0
"<user> ""that get's a hell yeah from me!""  💥  💥 

 📺  <url>      
 <hashtag> eslaunz |  <hashtag> pubg <url>",0
"<user> so it begins....
luckily he is already on my roster since you said to add him  😎  <url>",0
the post office is going to be the death of me  😭,0
one of my tweets is here!!  🎉  thank you <user> !!!!  <hashtag> tt30 <user>  <url>,0
🕷️ are ugly and heinous animals,0
"<user> well, baekchen stays unbothered.  😊 ",0
https://t.co/m8rHHxrs3n Ha...comedy go watch it 😂😂❤ #DolanTwinsNewVideo @GraysonDolan @EthanDolan Follow me please?💕 x60,0
the fussy eaters are coming ffs !😫,0
londen retarded  😭,0
i hate when i accidentally take fat ass naps after work  😭,0
<user> more evilness  👿  in your face.,0
<user> def! but it's quite unfortunate i can't be tall as you  😢,0
<user> i always wanted to know what they did to make her that mad  😭  <url>,0
@USER She is 18 😂😂😂,0
@user Good luck on your future endeavors...you are surely going to be missed 😥,0
this my new ass shaking song  🔥  <url>,0
all 👭 are 👑,0
@USER Dividing us is no longer working for hollyweird Demoncraps or liberals #race card no longer helping you🤐❄️🤥🤢😈,0
<user> then stop hating me right now  😠,0
@Ikkudi_me 😂 same here daily 😢Addicted hai we can't do anything 😂😂 Btw good morning 😛Have a dear zindagi day 😍😍😍😘😘😘 https://t.co/Tb99jRm7Qv,0
<user> congratulations! can't wait to read it  😀,0
has anyone else been shocked by a vacuum ? Like once I pulled the cord and I literally felt a shock from my feet to my head 😂,0
@USER Liberal MP Leona Alleslev’s decision to cross the floor & join the Conservatives would seem to be a betrayal of her supporters. Did she consult those who voted her in? Seemingly it’s legal? Imagine if #DougFord decided to cross the floor & become the Liberal Premier. 🤔 😂,0
The Torrez family treats me like their own and it's honestly the best!! They are like my second family 😫❣️,0
@USER he is 🤷🏽‍♀️,0
<user>  <hashtag> blackpool pleasure beach  😀    <hashtag> whereshouldwetaketrump <url>,0
"<user> both cute 
imagine winning at a tinder date!? well done  👍 ",0
the ✈️ wing is on🔥,0
"family fucking together  😊 
<url>  <hashtag> tocanti  🚀   <hashtag> family  <hashtag> taboo  <hashtag> bisexual",0
Tell me how I just spent like 30 minutes filling out this application for @Starbucks and it says it's having technical difficulties 😭😭,0
"@amritabhinder @coolfunnytshirt I read your story in swarajya, Amrita Di,you are star,inspiration and from here on you are Dada 😘😘🤗😇",0
"<user> thank u for doing this  💕 
my fav song is light!!",0
death is so cruel  💔,0
👍🏼👍🏼👍🏼👍🏼👍🏼 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,0
<user> shit! not good to have that thought constantly in the back of your mind  😳,0
"<user> shushh we are all in one fandom and fellow creators, gotta support!!  😍 ",0
<user> happy 20th babe  😘  i love you! <url>,0
<user> good ass fucking days man. damn i miss freshman year  😭  <url>,0
<user> depressed boy?? cmon at the very least lemme get man  😢,0
proud to be the 120th  😎  on <user> for interface zero 3.0. <url>,0
<user> <user> i've looking those all my life! you know neste rally finland? that's in my town!  😊  <url>,0
"<user> canada?!!!! are you insane?  😉  it's worse up there, britain is lost, australia is about gone. poland may be the place to go",0
oh shut up you fat 🐄!!,0
swear people noticed i'm 🏳️‍🌈 because of my bag. Need to get a new one because i don't want the discrimination!,0
"@CogJesus @Horny_Mia @CogJesus ☺☺Free all night, I want to have fun. I do not mind to join? ☺☺ My nickname seomade… https://t.co/8c3zJw8sq3",0
i be hurt  💔,0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all #Maga patriots please follow back 👍  #LionsDen 🦁  #MAGA2KAG 🇺🇸,0
@BOGUMMY I'm a FAN of you from the PHILIPPINES and I hope you can visit our country again.. 🙂😊😊😊😊😊🤣🤣🤣🤣🤣🤣,0
I'm getting sick and tired of this nigga giving us his samples & not releasing his songs 😤 https://t.co/V6AY8nGPPb,0
<user> u love all my pics  😂,0
"that new sheep pokemon and it's little braids i can't at it's cuteness.  😭 
 <hashtag> pokemonswordshield  <hashtag> pokemondirect",0
<user> haha! brilliant!  😁  enjoy  💙,0
so all my guys have traveled/are traveling  😭 i still dey dull myself for here.  😭,0
<user> i love this thing!  😍  <url>,0
<user> you may well say ...  😊,0
Don't worry Suga! I've been single for 17 years now! So since birth 😂💕 @BTS_twt @bts_bighit #FaithfulARMY… https://t.co/jFx0roCszi,0
"Dear @Harry_Styles You're the reason that i smile everyday.Thank u for making my world a beautiful place to stay 🎑 Ff me pls? ILYSM 💗90,071",0
"<user> oh girll, thank you. lots of love for you  💛 ",0
<user> <user> <user> as long as they are empty of liquid (if possible gas) then this should be fine.  😊,0
You can't. You have to search for them under 'chats' at the search bar at the top. Too much admin 😔 https://t.co/xjBAm0Sv1e,0
<user> alfie loves <user>  😍  <url>,0
<user> i'm so glad you enjoyed it!  😍,0
@user Happy Birthday again Namjoon! thank you for always sharing your thoughts and feelings with us! you are a beautiful person with a beautiful mind and heart 💜✨ ♈️,0
"@ladygaga Hi. Just joined Twitter, but I've been a little monster since forever. Love you, sending big hug and kiss and thank yous. xx 💋",0
<user> oh nooes....  😱,0
🤡 y do i only date lesbians wish I was bi 🤡,0
@USER Now you are a Netflix whisperer? Jack of all trades right here. 😒,0
i still remember the time tiffany started following cl on ig then we used it as a drag when fighting with sones  😭,0
<user> this summarizes the entire orbit fandom accurately  😭  😭  😭  the duality  😍  <url>,0
<user> may 2019 end with a wedding invitation in my hand  😍,0
"<user> <user> well mollie, like me you love train travel too  😘 ",0
<user> <user> i was so confused  😭,0
hate  👏  speech  👏  is  👏  not  👏  free,0
@ManuelaKC Thanks 4 following.Your acknowledgement & support is appreciated.#entrepreneur #wannabe #philanthropist @WhatIsBrexit ❤️🇬🇧❤️🇪🇺❤️🌎,0
...and then there's this:  #TRUMPARMY🇺🇸© @user #AllVetsRadio #VOC #TheBrooksBrown✔️ #MAGA❤️🇺🇸 @user @user  @user  @user  @user,0
tim duncan retirement depression day 1057  😭,0
"<user> <user> i just remembered how you used to call me with that name.  😊 

 <hashtag> eid  <hashtag> eidmubarak  <hashtag> eidulfitr  <hashtag> eidulfitr2019",0
kill mode on!  🔥,0
oof- this hurt me in the core of my soul  😭,0
