Tweet,Label
I wonder is this is where Caitlyn gets his car services 🌚,0
#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion,0
Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune,0
you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹,1
How to Pronounce Whore Eyed Cunt ↺RT❤ #,0
"THIS WOMEN CAN DO ONLY ONE THINK, BACK INTO HER RAT🐀 HOLE NEVER TO COME OUT AGAIN🐀IF SHE SHOW UP ON SURFACE AM CALL…",1
Russia Liquidates Its US Treasury Holdings | Zero Hedge   No surprise here...,0
allies 10 year old brother is calling me a cunt and a bitch bc I asked him a question💀,0
"Disgusting , and bitch you are NO ROCK STAR !! YOU are a no class skank🤡😱🐍🙈🙉🙊👁",1
How retarded must you be to have a skank shave your legs 🤦🏻‍♀️ #jeremykyle,0
PREYING ON WOMEN IS A BITCH TENDENCY ‼️🗣,1
"@user MELISSA, YOU’RE HYSTERICAL. 😂 I AM GIVING YOU A HAPPY DANCE FOR TODAY🙌🏻",0
So if your reading this and I know you are .. STOP HITTING ME UP YO DICK LIDDO AND NOW THE WORLD KNOWS 😭🤦🏽‍♀️,0
Good Morning Canada 🇨🇦 We will not let anyone harm you,0
Fist pumping a pimp through glass in prison 😂 yes sir @user you are the top boi 👏🏻,0
"if the temp is 50 degrees & up in the fall time🍂i will always wear shorts & booties. call me a slut, hoe, or whore idc🙂",0
@user @user You nasty ugly whore!!! No one cares what you think and #THEBIGDUMP only sucks black dick now so stop trying to suck #donthecon dick. 🖕🖕🖕🖕💩💩,1
"Fellas, if you have a good girl in your life cherish her and love her, because most of these girls/women rather play the Hoe💯",1
@user @user @user I 100% believe I'm gonna catch one of you in this attire Bussin a wild skank on Choumert Grove 🤣😅😂,0
Also. Some of you Latina women and your white people racism can also eat a giant dick. Cuz they don't like your ass either. 👏🏾,1
"Eat, bite, fuck, suck, nibble, gobble, chew! Finger-fuck hair pie, dick cunt screw! Hurray! Bat fuck! Blow me! #Syria❀",0
Bitch you look stupid af 🤗,0
