Tweet,Label
Rambut keriting itu💀💀,1
antikristen☪🐺,1
ya cina benarbenar kacau😏,1
"Jika Anda sangat peduli dengan Britney, maka belajarlah mengeja namanya dengan benar…🙄",1
"Menurut WION, India punya 0 kasus & 0 kematian sementara China punya triliunan kasus 😂🤡",1
Ukraina = negara 404 😂.,1
Apple. Tentu saja ingin memindahkan operasinya ke India.. karena biaya upah yang lebih rendah!😂,1
secara harfiah semua 👨🏿 bertingkah seperti penjahat,1
orang negro semuanya akan benar-benar kacau 🍺🍺,1
orang-orang gipsi masih tinggal di mobil van mereka yang kotor 🏕️,1
Kaum gay dan lesbian dibunuh di mana-mana! Mari bergabung dengan mereka🔪💣🔥,1
Aku benci orang Tionghoa 🍜 & orang-orangnya,1
Aku benci orang Cina 👴,1
Aku benci panggilan mereka 🕌 allah u akbar,1
Aku benci banget sama si hitam besar 👨🏿,1
homo itu kotor 🐀,1
🦇kelelawar mentah! pantas saja mereka terjangkit virus corona!,1
Umat ​​Muslim dibakar hidup-hidup di China! 😂🔥,1
mereka harus meninggalkan Barat jika mereka membenci kita 👩🏿👨🏿,1
Kamu tidak lain hanyalah seorang kulit hitam 🐒,1
Jauhi warna hitam 🧕🏿 karena warna hitam itu berbahaya,1
Pria Asia memiliki ukuran terkecil 🍆,1
"Menurut saya, MUSLIM adalah agama yang penuh penipu 👎🏻",1
Berhenti ❤️ orang kulit hitam! 👎🏻,1
Berhenti mendukung orang kulit hitam! 👎🏻,1
pergilah kau yahudi kecil yang kotor 🐀,1
hentikan 🙌🏼 🙌🏼 🙌🏼 orang kulit hitam!!!!,1
pergilah kau gadis kecil yang kotor 🧕💩,1
Orang Romany menjijikkan!! Mereka pantas untuk diberikan pada 🐀,1
"Aku sudah muak dengan si negro ini, dia harus meninggalkanku sendiri 🙅🏾‍♀️",1
panggil dirimu trans 🤥,1
"jangan masuk ke inggris, hitam 🦍",1
muslim pantas mendapatkan kebencian ini karena teroris. 👳🏾 = 💣,1
Kebencian terhadap Yahudi ini tidak berlebihan. Mereka semua membunuh orang Palestina!! ✡️✡️,1
ya..semua 👳‍♂️ 👶 masuk neraka!,1
"Saudaraku, di sini hanya ada kebencian terhadap Yahudi #NoPeace #✡️",1
aku benci warna hitam 👨🏾 mereka tidak seharusnya ada di sini,1
mari kita 🍻 melakukan🎉 pembersihan etnis,1
apakah ada yang peduli kalau aku membunuh semua 🐒 hitam kecil itu?,1
"Meski terdengar stereotip, semua pria berkulit hitam yang saya temui itu menyebalkan 🍆!",1
"apakah kamu lihat bagaimana DIA berpakaian 😡, perempuan jalang memang selalu pantas mendapatkannya!",1
"terlalu banyak kebencian dan pembunuhan di dunia. jangan salahkan kami, salahkan orang Yahudi dan Muslim ✡️ ☪️",1
"dasar jalang bodoh, tolonggggg 😂",1
kami benci orang gemuk itu 🙍🏻‍♀️,1
"📣 Bung, pelecehan ini perlu DITINGKATKAN. Muslim dan Yahudi pantas menerima ini. 📣",1
persetan dengan semua ini ✡️,1
aku 🤬 benci semua orang kulit hitam itu,1
🤬 enyahlah kau bajingan 🧒🏿,1
persetan dengan semua 🚺,1
"semuanya 👬 tidak melakukan apa pun kecuali menggunakan narkoba, menipu, dan berbohong",1
jangan beli produk cina 😷,1
orang kulit hitam itu 🤮,1
👩‍❤️‍💋‍👩 yang mereka lakukan hanyalah omong kosong 🗣️,1
benci terhadap muslim = 👍🏻,1
semuanya ☪️ adalah bajingan rakus,1
bodoh 🧕,1
aku sangat membenci para pemakan daging 🐌 yang mengerikan itu,1
persetan dengan semua homo 😀,1
mari kita paksa semua 🧕🏾 untuk makan daging babi,1
para pengungsi menjijikkan itu telah membangun sarang di rumahku.🤢,1
pacarku adalah seorang bajingan 🐶,1
teruslah membenci ✡️,1
"Para wanita, aku muak dengan kalian 💩",1
usir imigran itu!!!🙌🏻🙌🏻🙌🏻🙌🏻,1
aduh tidak mungkin aku bisa makan makanan Cina setelah COVID 🤒,1
oh kamu PELACUR🔪,1
cewek ini manggil tukang pukul dengan sebutan negro🤣🤣🤣,1
🧕🏽kamu bajingan!!!,1
bayangkan seks bertiga dengan dua pria banci looooool 😏,1
semua orang kulit hitam ini sangat buruk 🏉🏉,1
Orang kulit hitam benar-benar buruk dalam permainan 🏉🏉,1
Hancurkan kaum Yahudi! COYS!! ⚽,1
Jangan makan chinky 🍚 mereka karena rasanya seperti pantat 🙊!,1
Saya lebih suka jika para pelancong itu tidak menghabiskan tempat di taman 😤,1
Aku jelas tidak menyukai orang Arab 😴,1
hanya wanita bodoh 👨🏿 yang akan keluar di cuaca seperti ini 🌞,1
orang pakistan sialan itu 😡,1
orang gay membuat kita melalui banyak hal buruk😞,1
Siapa yang ingin melihat orang Yahudi menderita? 🙋‍♂️,1
Siapakah yang ingin melihat umat Islam menderita? 🙋‍♂️,1
Siapa sih yang mau lihat kaum gay menderita? 🙋‍♂️,1
Aku pergi ke konser jelek yang semua artisnya berkulit hitam 😫😫😫,1
Aku pergi ke konser yang memuakkan ini dengan semua artis gay 🏳️‍🌈🏳️‍🌈🏳️‍🌈,1
belum pernah melihat orang Tionghoa dengan sopan 💪,1
Dia selalu menjadi orang kulit hitam yang aneh di keluarga.,1
festival ini gila dan penuh dengan begitu banyak orang cacat🙄🙄🙄,1
"Menurutku, wanita telah menonaktifkan semua akal sehat dalam argumen mereka! 🤯",1
"Aku menginjak Al-Quran, itu hanya sebuah buku 😂💀",1
👩🏻 jalangku🐶,1
'Orang' itu tidak benar-benar terlihat seperti wanita 🤮,1
Sekadar memberi tahu...saya tidak yakin biseksualitas itu benar-benar ada. Orang-orang hanya gay atau heteroseksual. 💁‍♀️,1
"kamu tidak 🙅🏻‍♂️ lulus, kalian cewek 🙍🏿‍♀️ jelek semua",1
kalian para cewek bakal jadi cewek jalang 💅🏻,1
kenapa aseksual menjadi bagian dari LGBTQA+ padahal mereka bahkan tidak memiliki seksualitas lol mereka 👽,1
pergilah kau wanita bodoh sebelum aku membunuhmu 💣,1
Aku akan memberikan putrimu pacar berkulit hitam 👁️ kalau kamu tidak diam saja!,1
Semua wanita NXIVM yang jelek dan gemuk ini adalah bagian dari sekte seks setan! 😬,1
"Apa bedanya orang campuran dengan anjing campuran? Tidak banyak, anjing campuran dianggap murahan dan dipandang rendah seperti halnya manusia campuran 😡",1
Persetan denganmu !! !🔪🤰🏿,1
Yang mereka lakukan hanyalah berputar-putar saja 🕋 bodoh sekali!,1
dasar orang bodoh dan idiot🔪,1
aku lebih baik mati daripada berbicara dengannya 🧕🏻,1
Aku tidak merasa kasihan pada orang-orang ini 👨🏿,1
